feature_id,feature,surface,purpose,trigger,result,dependencies,empty_state,loading_state,error_state,desktop_behaviour,tablet_behaviour,mobile_behaviour,classification,cial_relevance,evidence_paths
feature-library,Notebook library,Library,Find/create notebooks,Open root,Filterable library,Authenticated session,Empty library supported,Skeleton/loading,Unknown,Full toolbar,Full toolbar,Compact controls,OBSERVED,Adopt IA,evidence/screenshots/desktop/library_1440x900.png;evidence/screenshots/desktop/library_1024x768.png;evidence/screenshots/tablet/library_768x1024.png;evidence/screenshots/mobile/library_390x844.png
feature-create,Notebook creation,Library,Start workspace,Create new,Empty notebook,Authenticated session,Blank canvas,Route transition,Unknown,Button,Button,Button,OBSERVED,Adopt,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-source-import,Source import,Sources,Add evidence,Add source,Import dialog,Source adapters,Instructional empty state,Processing row,Retry only if surfaced,Panel,Tab panel,Tab panel,OBSERVED,Adapt to Corpus API,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-source-select,Source selection,Sources,Control grounding,Checkbox,Selected context changes,Ready sources,No rows,Disabled during processing,Unknown,Persistent panel,Tab,Tab,OBSERVED,High,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-source-preview,Source preview,Sources,Inspect evidence,Source row,In-panel preview,Preview adapter,N/A,Content loading,Open-in-new-tab fallback,Left panel,Full tab,Full tab,OBSERVED,Reuse shared viewer,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-chat,Grounded chat,Chat,Ask questions,Enter/Submit,Answer with citations,Selected sources,Prompt suggestions,Generating/Stop,Retry not observed,Center column,Tab,Tab,OBSERVED,High,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-citations,Inline citations,Chat,Trace claims,Citation chip,Citation detail,Source mapping,No citations,N/A,No previous/next observed,Inline overlay,Dialog/overlay,Dialog/overlay,OBSERVED,Critical,evidence/screenshots/mobile/empty_notebook_390x844.png;evidence/accessibility_snapshots/a11y_notebook_sanitized.txt;evidence/dom_snapshots/notebook_structure_sanitized.md
feature-notes,Notes,Studio,Persist user synthesis,Add note,Rich editor/card,Notebook persistence,Add note,Generating note,Delete confirmation,Studio column,Tab,Tab,OBSERVED,Adopt with PG,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-audio,Audio Overview,Studio,Audio synthesis,Audio Overview,Inline player,Studio job,Disabled without sources,Minutes-long generation,Not observed,Card/player,Card/player,Card/player,OBSERVED,Defer,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
feature-video,Video Overview,Studio,Video synthesis,Video Overview,Custom dialog/player,Studio job,Disabled without sources,Long-running generation,Not observed,Card/player,Card/player,Card/player,OBSERVED,Defer,evidence/accessibility_snapshots/a11y_studio_sanitized.txt;evidence/dom_snapshots/studio_structure_sanitized.md
